video_id,channel_id,title,image,date,views,connected_to
TcC7WkW-uMY,UCR9Gcq0CMm6YgTzsDxAxjOQ,Did I Survive 100 Hours In Minecraft Hardcore?,https://i.ytimg.com/vi/TcC7WkW-uMY/maxresdefault.jpg,2022-02-28,2464511,NODE-ELq5JiBPSY
PH7XSXRjyXc,UCR9Gcq0CMm6YgTzsDxAxjOQ,100 Hours In Minecraft Hardcore: Episode 6 - THE CHALLENGE,https://i.ytimg.com/vi/PH7XSXRjyXc/maxresdefault.jpg,2022-02-15,1993974,NODEgPNWoig6_KA
eGxq0o41KPI,UCR9Gcq0CMm6YgTzsDxAxjOQ,100 Hours In Minecraft Hardcore: Episode 5 - REDEMPTION,https://i.ytimg.com/vi/eGxq0o41KPI/maxresdefault.jpg,2022-02-06,2514296,NODEbPAvq2wM7E8
9Suva-zEr5o,UCR9Gcq0CMm6YgTzsDxAxjOQ,100 Hours In Minecraft Hardcore: Episode 4 - DISASTER,https://i.ytimg.com/vi/9Suva-zEr5o/maxresdefault.jpg,2022-02-01,3145950,NODEDiV5xr51gXM
X8nzIBRxLAs,UCR9Gcq0CMm6YgTzsDxAxjOQ,100 Hours In Minecraft Hardcore: Episode 3 - BASE BUILDING!,https://i.ytimg.com/vi/X8nzIBRxLAs/maxresdefault.jpg,2022-01-28,3572828,
clt1bcfeb2w,UCR9Gcq0CMm6YgTzsDxAxjOQ,100 Hours In Hardcore Minecraft: Episode 2 - UPGRADES,https://i.ytimg.com/vi/clt1bcfeb2w/maxresdefault.jpg,2022-01-18,4077142,
tsvd0d1Q5Fg,UCR9Gcq0CMm6YgTzsDxAxjOQ,100 Hours In Minecraft Hardcore: Episode 1,https://i.ytimg.com/vi/tsvd0d1Q5Fg/maxresdefault.jpg,2022-01-12,5965915,
QZDn9GqWArI,UCodkNmk9oWRTIYZdr_HuSlg,100 Hours In Hardcore Minecraft:  WILL I SURVIVE THIS???,https://i.ytimg.com/vi/QZDn9GqWArI/maxresdefault.jpg,2022-02-09,678002,
VWz1T3itutg,UCodkNmk9oWRTIYZdr_HuSlg,100 Hours In Hardcore Minecraft:  Terrifying Roller Coaster!,https://i.ytimg.com/vi/VWz1T3itutg/maxresdefault.jpg,2022-01-31,686544,
dWnzuo4YsB0,UCodkNmk9oWRTIYZdr_HuSlg,100 Hours In Hardcore Minecraft: The Most Dangerous Portal...,https://i.ytimg.com/vi/dWnzuo4YsB0/maxresdefault.jpg,2022-01-24,898096,
XmsWWbLMOUk,UCodkNmk9oWRTIYZdr_HuSlg,100 Hours In Hardcore Minecraft:  How'd I Survive This?!,https://i.ytimg.com/vi/XmsWWbLMOUk/maxresdefault.jpg,2022-01-19,933938,
CSYfY27tL_c,UCodkNmk9oWRTIYZdr_HuSlg,100 Hours In Hardcore Minecraft:  The Most Dangerous Base,https://i.ytimg.com/vi/CSYfY27tL_c/maxresdefault.jpg,2022-01-12,1476576,
-ELq5JiBPSY,UC4qdHN4zHhd4VvNy3zNgXPA,Pure Chaos & Death! | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/-ELq5JiBPSY/maxresdefault.jpg,2022-02-28,445766,NODETcC7WkW-uMY
adxCAQILOIA,UC4qdHN4zHhd4VvNy3zNgXPA,The Mega Base is Done! | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/adxCAQILOIA/maxresdefault.jpg,2022-02-19,524339,
gPNWoig6_KA,UC4qdHN4zHhd4VvNy3zNgXPA,We Are Psychopaths.. | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/gPNWoig6_KA/maxresdefault.jpg,2022-02-15,492123,NODEPH7XSXRjyXc
P5ZdXk9tJVg,UC4qdHN4zHhd4VvNy3zNgXPA,So It's a Megabase... | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/P5ZdXk9tJVg/maxresdefault.jpg,2022-02-09,534308,
bPAvq2wM7E8,UC4qdHN4zHhd4VvNy3zNgXPA,Lizzie & The Castle.. | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/bPAvq2wM7E8/maxresdefault.jpg,2022-02-05,753469,NODEeGxq0o41KPI
DiV5xr51gXM,UC4qdHN4zHhd4VvNy3zNgXPA,My Big Project.. | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/DiV5xr51gXM/maxresdefault.jpg,2022-02-02,689893,NODE9Suva-zEr5o
ijaJdmQFZ1w,UC4qdHN4zHhd4VvNy3zNgXPA,The Silliest Hardcore Players.. | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/ijaJdmQFZ1w/maxresdefault.jpg,2022-01-27,673581,
XjtqJ0LnZH0,UC4qdHN4zHhd4VvNy3zNgXPA,Upgrading My Area & Me! | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/XjtqJ0LnZH0/maxresdefault.jpg,2022-01-20,858385,
Mvy73HJNMUw,UC4qdHN4zHhd4VvNy3zNgXPA,The Starter Base! | 100 Hours of Hardcore Minecraft,https://i.ytimg.com/vi/Mvy73HJNMUw/maxresdefault.jpg,2022-01-12,1261784,
